comname,ticker,esg_0_100
COSTCO WHOLESALE CORPORATION,COST,72.1
CRESCO LABS INC.,CL,11.6
CRH PUBLIC LIMITED COMPANY,CRH,84.3
"CROWDSTRIKE HOLDINGS, INC.",CRWD,25.1
CROWN CASTLE INC.,CCI,55.0
CSX Corporation,CSX,71.5
CUMMINS INC.,CMI,62.0
CVS HEALTH CORPORATION,CVS,73.7
Canaccord Genuity Group Inc.,CF,28.0
Carnival Corporation,CCL,84.3
Chubb Limited,CB,45.2
CompuGroup Medical SE & Co. KGaA,COP,42.2
"Corporación Financiera Alba, S.A.",ALB,67.7
"Corticeira Amorim, S.G.P.S., S.A.",COR,77.6
CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT,FRT,21.7
D'Amico International Shipping SA,DIS,33.9
"D.R. HORTON, INC.",DHI,44.6
DANAHER CORPORATION,DHR,80.8
"DARDEN RESTAURANTS, INC.",DRI,58.9
DARI COUSPATE SA,DRI,15.4
"DATADOG, INC.",DDOG,31.9
DATALOGIC S.P.A.,DAL,47.2
DAVITA INC.,DVA,77.3
"DAYFORCE, INC.",CDAY,72.7
DEERE & COMPANY,DE,73.6
DELL TECHNOLOGIES INC.,DELL,72.7
"DELTA AIR LINES, INC.",DAL,44.0
DENTSPLY SIRONA INC.,XRAY,72.5
DEVON ENERGY CORPORATION,DVN,57.9
"DEXCOM, INC.",DXCM,71.5
"DIAMONDBACK ENERGY, INC.",FANG,56.3
"DIGITAL REALTY TRUST, INC.",DLR,66.1
DOLLAR GENERAL CORPORATION,DG,68.5
"DOLLAR TREE, INC.",DLTR,68.1
"DOMINO'S PIZZA, INC.",DPZ,54.4
"DOORDASH, INC.",DASH,47.9
DOVALUE S.P.A.,DOV,59.1
DOVER CORPORATION,DOV,56.7
DOW INC.,DOW,84.5
DOWNER EDI LIMITED,DOW,78.9
DTE ENERGY COMPANY,DTE,60.2
DUKE ENERGY CORPORATION,DUK,63.5
"DUPONT DE NEMOURS, INC.",DD,67.8
Deutsche Telekom AG,DTE,82.7
Dexus Industria REIT,ADI,55.4
"Dominion Energy, Inc.",D,70.5
EATON CORPORATION PUBLIC LIMITED COMPANY,ETN,65.3
EBAY INC.,EBAY,68.3
ECOLAB INC.,ECL,84.0
EDISON INTERNATIONAL,EIX,74.9
EDWARDS LIFESCIENCES CORPORATION,EW,68.1
ELECTRONIC ARTS INC.,EA,65.4
ELI LILLY AND COMPANY,LLY,67.2
"EMCOR GROUP, INC.",EME,56.1
EMERALD RESOURCES NL,EMR,37.4
EMERSON ELECTRIC CO.,EMR,78.7
EMPRESARIA GROUP PLC,EMR,23.7
ENERFLEX LTD.,EFX,41.0
ENGIE Energía Chile S.A.,ECL,55.8
ENTERGY CORPORATION,ETR,48.1
"EOG RESOURCES, INC.",EOG,54.7
EQT AB,EQT,67.5
EQT CORPORATION,EQT,43.6
EQT HOLDINGS LIMITED,EQT,55.3
EQUIFAX INC.,EFX,43.8
"EQUINIX, INC.",EQIX,69.7
EQUITY RESIDENTIAL,EQR,68.1
ERIE INDEMNITY COMPANY,ERIE,39.6
ESSILORLUXOTTICA SA,EL,61.8
"ETSY, INC.",ETSY,44.9
EURAZEO SE,RF,43.7
EXEL INDUSTRIES SA,EXE,30.6
EXELON CORPORATION,EXC,69.3
"EXPEDIA GROUP, INC.",EXPE,44.0
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC",EXPD,61.8
EXTRA SPACE STORAGE INC.,EXR,60.0
EXXON MOBIL CORPORATION,XOM,60.3
"Evergy, Inc.",EVRG,62.8
Eversource Energy,ES,74.3
Extendicare Inc.,EXE,42.6
FAIR ISAAC CORPORATION,FICO,43.6
FASTENAL COMPANY,FAST,45.3
FEDEX CORPORATION,FDX,72.4
FEVARA PLC,CARR,26.4
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",FIS,78.0
FIFTH THIRD BANCORP,FITB,72.7
"FIRST SOLAR, INC.",FSLR,71.9
FIRSTENERGY CORP.,FE,65.0
"FISERV, INC.",FISV,58.5
FORD MOTOR COMPANY,F,69.2
"FORTINET, INC.",FTNT,60.9
FOX CORPORATION,FOXA,56.5
"FRANKLIN RESOURCES, INC.",BEN,46.9
FREEPORT-MCMORAN INC.,FCX,82.0
GEFRAN S.P.A.,GE,50.0
GENERAL DYNAMICS CORPORATION,GD,60.7
GENERAL ELECTRIC COMPANY,GE,76.2
"GENERAL MILLS, INC.",GIS,77.2
GENERAL MOTORS COMPANY,GM,70.9
GENUINE PARTS COMPANY,GPC,43.7
"GILEAD SCIENCES, INC.",GILD,83.3
GLOBAL PAYMENTS INC.,GPN,49.3
GLOBE LIFE INC.,GL,61.0
GROUPE AECON INC.,ARE,50.0
Garmin Ltd.,GRMN,57.8
HALLIBURTON COMPANY,HAL,83.2
HASTINGS TECHNOLOGY METALS LTD,HAS,53.9
HAYS PLC,HAS,54.6
"HCA HEALTHCARE, INC.",HCA,65.6
"HENRY SCHEIN, INC.",HSIC,63.7
HEWLETT PACKARD ENTERPRISE COMPANY,HPE,73.2
HILTON WORLDWIDE HOLDINGS INC.,HLT,81.5
HINDUSTAN AERONAUTICS LIMITED,HAL,29.7
HLT GLOBAL BERHAD,HLT,11.7
HORMEL FOODS CORPORATION,HRL,61.3
"HOST HOTELS & RESORTS, INC.",HST,83.7
HOWMET AEROSPACE INC.,HWM,66.4
HUBBELL INCORPORATED,HUBB,77.6
HUMANA INC.,HUM,64.7
HUMM GROUP LIMITED,HUM,35.2
HUMMINGBIRD RESOURCES LIMITED,HUM,37.9
HUNTINGTON BANCSHARES INCORPORATED,HBAN,73.7
"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,42.6
"Hasbro, Inc.",HAS,64.4
Humana AB,HUM,55.2
IDEX CORPORATION,IEX,57.4
"IDEXX LABORATORIES, INC.",IDXX,76.0
ILLINOIS TOOL WORKS INC.,ITW,60.9
INCYTE CORPORATION,INCY,61.4
INDIAN ENERGY EXCHANGE LIMITED,IEX,41.8
INGERSOLL RAND INC.,IR,56.0
INSULET CORPORATION,PODD,67.0
INTEL CORPORATION,INTC,85.3
"INTERACTIVE BROKERS GROUP, INC.",IBKR,47.1
"INTERCONTINENTAL EXCHANGE, INC.",ICE,61.8
INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,71.3
INTERNATIONAL FLAVORS & FRAGRANCES INC.,IFF,79.5
INTERNATIONAL PAPER COMPANY,IP,62.3
INTERPUMP GROUP S.P.A.,IP,46.2
INTUIT INC.,INTU,84.2
"INTUITIVE SURGICAL, INC.",ISRG,58.6
IQVIA HOLDINGS INC,IQV,57.2
IRON MOUNTAIN INCORPORATED,IRM,74.1
"J. B. HUNT TRANSPORT SERVICES, INC.",JBHT,65.4
JABIL INC.,JBL,67.3
"JACK HENRY & ASSOCIATES, INC.",JKHY,54.5
JOHNSON & JOHNSON,JNJ,89.1
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,JCI,73.4
JPMORGAN CHASE & CO.,JPM,77.5
KEURIG DR PEPPER INC.,KDP,61.0
KEYCORP,KEY,69.6
KEYERA CORP.,KEY,55.6
"KEYSIGHT TECHNOLOGIES, INC.",KEYS,69.0
KIMBERLY-CLARK CORPORATION,KMB,73.0
"KINDER MORGAN, INC.",KMI,82.7
KLA CORPORATION,KLAC,68.3
"L3HARRIS TECHNOLOGIES, INC.",LHX,65.7
LAM RESEARCH CORPORATION,LRCX,74.7
"LAMB WESTON HOLDINGS, INC.",LW,59.1
LAS VEGAS SANDS CORP.,LVS,71.3
"LEIDOS HOLDINGS, INC.",LDOS,81.7
